Dataset,Hidden_Channels,Learning_Rate,Weight_Decay,Accuracy,Perturbation_Type,Perturbation_Percentage
Cora,64,0.001,1e-05,0.9040590405904059,None,0
Cora,64,0.001,1e-05,0.9003690036900369,Even,0.05
Cora,64,0.001,1e-05,0.8856088560885609,Concentrated,0.05
Cora,64,0.001,1e-05,0.8948339483394834,Even,0.1
Cora,64,0.001,1e-05,0.8671586715867159,Concentrated,0.1
Cora,64,0.001,1e-05,0.9040590405904059,Even,0.15
Cora,64,0.001,1e-05,0.8339483394833949,Concentrated,0.15
Cora,64,0.001,1e-05,0.8985239852398524,Even,0.2
Cora,64,0.001,1e-05,0.8210332103321033,Concentrated,0.2
Cora,64,0.001,1e-05,0.8985239852398524,Even,0.25
Cora,64,0.001,1e-05,0.8118081180811808,Concentrated,0.25
Pubmed,64,0.01,0.0001,0.8869168356997972,None,0
Pubmed,64,0.01,0.0001,0.8864097363083164,Even,0.05
Pubmed,64,0.01,0.0001,0.8526876267748479,Concentrated,0.05
Pubmed,64,0.01,0.0001,0.8856490872210954,Even,0.1
Pubmed,64,0.01,0.0001,0.8511663286004056,Concentrated,0.1
Pubmed,64,0.01,0.0001,0.8861561866125761,Even,0.15
Pubmed,64,0.01,0.0001,0.8547160243407708,Concentrated,0.15
Pubmed,64,0.01,0.0001,0.8859026369168357,Even,0.2
Pubmed,64,0.01,0.0001,0.859026369168357,Concentrated,0.2
Pubmed,64,0.01,0.0001,0.7786511156186613,Even,0.25
Pubmed,64,0.01,0.0001,0.8577586206896551,Concentrated,0.25
CiteSeer,512,0.0005,1e-05,0.8018018018018018,None,0
CiteSeer,512,0.0005,1e-05,0.7957957957957958,Even,0.05
CiteSeer,512,0.0005,1e-05,0.7657657657657657,Concentrated,0.05
CiteSeer,512,0.0005,1e-05,0.8003003003003003,Even,0.1
CiteSeer,512,0.0005,1e-05,0.7567567567567568,Concentrated,0.1
CiteSeer,512,0.0005,1e-05,0.7972972972972973,Even,0.15
CiteSeer,512,0.0005,1e-05,0.7627627627627628,Concentrated,0.15
CiteSeer,512,0.0005,1e-05,0.8018018018018018,Even,0.2
CiteSeer,512,0.0005,1e-05,0.7342342342342343,Concentrated,0.2
CiteSeer,512,0.0005,1e-05,0.7897897897897898,Even,0.25
CiteSeer,512,0.0005,1e-05,0.7477477477477478,Concentrated,0.25
